127.0.0.1 - - [07/Mar/2022:18:59:18 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:59:20 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:59:20 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:59:20 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:00:23 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 260
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:00:23 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:00:23 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:00:23 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:00:23 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:04:31 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:04:31 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:04:31 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:04:31 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:04:31 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:04:31 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:28 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:29 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:29 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:29 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:29 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:29 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:06:29 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 200 1306
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:26 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:37 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:38 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:38 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:38 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:38 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:38 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 742
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 200 1305
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:07:57 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:08:00 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/head.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/user.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/znz.jpg HTTP/1.1" 200 86947
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:32 +0800] "GET /JSPTest/static/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:12:33 +0800] "GET /JSPTest/static/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/caseThree.jsp HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:19:16:59 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 304 -
