127.0.0.1 - - [07/Apr/2022:18:20:14 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:16 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE.jsp HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:16 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/css/style.css HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:16 +0800] "GET /JSPTest/static/images/logo.gif HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:16 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:16 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img01.gif HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:16 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/bg0.gif HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:18 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img02.gif HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:41 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE.jsp HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:41 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:41 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:41 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:20:41 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:30 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE.jsp HTTP/1.1" 200 1061
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:30 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:30 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:30 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/bg0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:30 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:34 +0800] "GET /JSPTest/%E7%AC%AC%E5%9B%9B%E7%AB%A0%E7%B4%A0%E6%9D%90_%E6%9B%B4%E6%96%B0/%E6%A1%88%E4%BE%8B%E4%BA%8C%E7%B4%A0%E6%9D%90/images/img02.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:34 +0800] "GET /JSPTest/main.html HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:36 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:39 +0800] "GET /JSPTest/index.jsp HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:41 +0800] "GET /JSPTest/ HTTP/1.1" 404 712
0:0:0:0:0:0:0:1 - - [07/Apr/2022:18:21:57 +0800] "GET /JSPTest/%E9%87%8D%E7%BD%AE.jsp HTTP/1.1" 200 1075
